Fall,Major,Total,Male,Female
2006,Nondegree,104,92,12
2006,Nuclear Engineering,162,139,23
2006,Physics,298,258,40
2006,Systems & Entrepreneurial Engr,31,29,2
2006,Theoretical & Applied Mechans,0,0,0
2007,Aerospace Engineering,482,424,58
2007,Agricultural Engineering,92,78,14
2007,Bioengineering,136,79,57
2007,Bioinformatics,4,2,2
2007,Civil Engineering,830,654,175
2007,Computer Engineering,434,397,35
2007,Computer Science,956,834,120
2007,Electrical & Computer Engr,521,448,73
2007,Electrical Engineering,774,691,83
2007,Engineering Mechanics,49,37,12
2007,Engineering Physics,134,121,13
2007,Environ Engr in Civil Engr,63,33,30
2007,Environ Science in Civil Engr,13,5,8
2007,General Engineering,595,477,117
2007,Industrial Engineering,87,59,28
2007,Materials Science & Engr,398,305,93
2007,Mechanical Engineering,1090,955,133
2007,Nondegree,106,87,19
2007,Nuclear Engineering,171,138,33
2007,Physics,288,248,40
2007,Systems & Entrepreneurial Engr,33,30,3
2007,Theoretical & Applied Mechans,0,0,0
2008,Aerospace Engineering,514,453,60
2008,Agricultural & Biological Engr,14,7,7
2008,Agricultural Engineering,90,76,14
2008,Bioengineering,173,101,72
2008,Civil Engineering,955,735,219
2008,Computer Engineering,446,398,46
2008,Computer Science,980,858,121
2008,Electrical & Computer Engr,504,444,60
2008,Electrical Engineering,804,717,86
2008,Engineering Mechanics,75,61,13
2008,Engineering Physics,131,118,13
2008,Environ Engr in Civil Engr,75,34,41
2008,Environ Science in Civil Engr,10,3,7
2008,General Engineering,542,411,131
2008,Industrial Engineering,125,86,39
2008,Materials Science & Engr,439,339,100
2008,Mechanical Engineering,1099,968,129
2008,Nondegree,135,110,25
2008,Nuclear Engineering,174,152,22
2008,Physics,302,262,40
2008,Systems & Entrepreneurial Engr,33,28,5
2008,Theoretical & Applied Mechans,0,0,0
2009,Aerospace Engineering,507,443,64
2009,Agricultural & Biological Engr,59,37,22
2009,Agricultural Engineering,64,55,9
2009,Bioengineering,178,105,73
2009,Bioinformatics,4,2,2
2009,Civil Engineering,1090,816,272
2009,Computer Engineering,469,423,45
2009,Computer Science,1035,914,121
2009,Electrical & Computer Engr,513,446,67
2009,Electrical Engineering,945,837,107
2009,Engineering Mechanics,106,89,17
2009,Engineering Physics,139,125,14
2009,Environ Engr in Civil Engr,80,40,40
2009,Environ Science in Civil Engr,11,3,8
2009,General Engineering,454,349,104
2009,Industrial Engineering,159,112,47
2009,Materials Science & Engr,463,344,119
2009,Mechanical Engineering,1052,936,114
2009,Nondegree,196,154,42
2009,Nuclear Engineering,117,102,15
2009,"Nuclear, Plasma, Radiolgc Engr ",102,83,19
2009,Physics,275,238,37
2009,Systems & Entrepreneurial Engr,30,22,8
2009,Theoretical & Applied Mechans,0,0,0
2010,Aerospace Engineering,526,456,70
2010,Agricultural & Biological Engr,102,71,31
2010,Agricultural Engineering,44,37,7
2010,Bioengineering,200,126,74
2010,Bioinformatics,3,2,1
2010,Civil Engineering,1169,875,291
2010,Computer Engineering,524,480,43
2010,Computer Science,1169,1033,136
2010,Electrical & Computer Engr,504,436,68
2010,Electrical Engineering,1024,906,116
2010,Engineering Mechanics,135,115,20
2010,Engineering Physics,143,127,16
2010,Environ Engr in Civil Engr,84,40,44
2010,Environ Science in Civil Engr,9,2,7
2010,Financial Engineering,26,21,5
2010,General Engineering,426,326,99
2010,Industrial Engineering,201,145,56
2010,Materials Science & Engr,466,360,106
2010,Mechanical Engineering,1092,978,112
2010,Nondegree,201,169,32
2010,Nuclear Engineering,122,105,17
2010,"Nuclear, Plasma, Radiolgc Engr ",118,99,19
2010,Physics,260,226,34
2010,Systems & Entrepreneurial Engr,26,21,5
2010,Teaching of Physics,0,0,0
2010,Theoretical & Applied Mechans,0,0,0
2011,Aerospace Engineering,507,437,70
2011,Agricultural & Biological Engr,156,108,48
2011,Agricultural Engineering,10,7,3
2011,Bioengineering,231,134,97
2011,Bioinformatics,2,1,1
2011,Civil Engineering,1178,893,284
2011,Computer Engineering,608,563,45
2011,Computer Science,1229,1090,139
2011,Electrical & Computer Engr,476,417,59
2011,Electrical Engineering,1128,995,133
2011,Engineering Mechanics,142,126,16
2011,Engineering Physics,152,138,14
2011,Environ Engr in Civil Engr,96,40,56
2011,Environ Science in Civil Engr,7,4,3
2011,Financial Engineering,69,52,17
2011,General Engineering,384,307,77
2011,Industrial Engineering,226,168,58
2011,Materials Science & Engr,547,423,124
2011,Mechanical Engineering,1055,927,126
2011,Nondegree,207,162,45
2011,Nuclear Engineering,59,49,10
2011,"Nuclear, Plasma, Radiolgc Engr ",209,184,25
2011,Physics,265,227,38
2011,Systems & Entrepreneurial Engr,19,13,6
2011,Teaching of Physics,0,0,0
2011,Theoretical & Applied Mechans,0,0,0
2012,Aerospace Engineering,489,419,70
2012,Agricultural & Biological Engr,183,132,51
2012,Agricultural Engineering,2,2,0
2012,Bioengineering,259,145,114
2012,Bioinformatics,2,2,0
2012,Civil Engineering,1241,941,300
2012,Computer Engineering,697,635,62
2012,Computer Science,1386,1225,161
2012,Electrical & Computer Engr,473,410,63
2012,Electrical Engineering,1163,1021,142
2012,Engineering Mechanics,122,110,12
2012,Engineering Physics,177,158,19
2012,Engineering Undesignated,1,0,1
2012,Environ Engr in Civil Engr,91,44,47
2012,Environ Science in Civil Engr,7,3,4
2012,Financial Engineering,100,67,33
2012,General Engineering,368,270,98
2012,Industrial Engineering,268,206,62
2012,Materials Science & Engr,571,433,138
2012,Mechanical Engineering,1110,956,153
2012,Nondegree,228,184,43
2012,Nuclear Engineering,26,21,5
2012,"Nuclear, Plasma, Radiolgc Engr ",231,203,28
2012,Physics,254,213,41
2012,Systems & Entrepreneurial Engr,20,14,6
2012,Teaching of Physics,0,0,0
2012,Theoretical & Applied Mechans,0,0,0
2013,Aerospace Engineering,536,476,60
2013,Agricultural & Biological Engr,160,116,44
2013,Agricultural Engineering,1,1,0
2013,Bioengineering,276,152,124
2013,Bioinformatics,3,2,1
2013,Civil Engineering,1287,970,317
2013,Computer Engineering,791,721,70
2013,Computer Science,1514,1292,222
2013,Electrical & Computer Engr,494,423,71
2013,Electrical Engineering,1170,1034,135
2013,Engineering Mechanics,97,86,11
2013,Engineering Physics,197,179,18
2013,Engineering Undeclared,100,76,24
2013,Environ Engr in Civil Engr,110,55,55
2013,Environ Science in Civil Engr,4,1,3
2013,Financial Engineering,98,62,36
2013,General Engineering,320,248,72
2013,Industrial Engineering,296,230,66
2013,Materials Science & Engr,602,453,149
2013,Mechanical Engineering,1197,1041,155
2013,Nondegree,207,173,34
2013,Nuclear Engineering,14,11,3
2013,"Nuclear, Plasma, Radiolgc Engr ",225,196,29
2013,Physics,255,212,43
2013,Systems & Entrepreneurial Engr,25,16,9
2013,Teaching of Physics,0,0,0
2013,Theoretical & Applied Mechans,0,0,0
2014,Aerospace Engineering,608,547,61
2014,Agricultural & Biological Engr,148,108,40
2014,Bioengineering,320,174,146
2014,Bioinformatics,3,1,2
2014,Civil Engineering,1294,972,322
2014,Computer Engineering,905,813,92
2014,Computer Science,1596,1305,291
2014,Electrical & Computer Engr,534,455,79
2014,Electrical Engineering,1109,973,135
2014,Engineering,4,3,1
2014,Engineering Mechanics,93,85,8
2014,Engineering Physics,231,210,21
2014,Engineering Undeclared,118,73,45
2014,Environ Engr in Civil Engr,118,56,62
2014,Environ Science in Civil Engr,1,0,1
2014,Financial Engineering,109,76,33
2014,General Engineering,271,211,60
2014,Industrial Engineering,341,267,74
2014,Materials Science & Engr,600,435,165
2014,Mechanical Engineering,1231,1057,174
2014,Nondegree,228,176,52
2014,Nuclear Engineering,5,4,1
2014,"Nuclear, Plasma, Radiolgc Engr ",215,185,30
2014,Physics,257,207,50
2014,Systems & Entrepreneurial Engr,24,21,3
2014,Teaching of Physics,0,0,0
2014,Theoretical & Applied Mechans,0,0,0
2015,Aerospace Engineering,657,588,69
2015,Agricultural & Biological Engr,126,88,38
2015,Bioengineering,318,167,151
2015,Bioinformatics,5,2,3
2015,Bioinstrumentation,12,7,5
2015,Civil Engineering,1319,976,343
2015,Computer Engineering,1062,952,109
2015,Computer Science,1640,1310,330
2015,Electrical & Computer Engr,503,429,74
2015,Electrical Engineering,1146,1002,144
2015,Engineering,20,14,6
2015,Engineering Mechanics,112,101,11
2015,Engineering Physics,248,218,30
2015,Engineering Undeclared,147,117,30
2015,Environ Engr in Civil Engr,100,46,54
2015,Environ Science in Civil Engr,1,0,1
2015,Financial Engineering,122,91,31
2015,General Engineering,230,172,58
2015,Industrial Engineering,337,247,90
2015,Materials Science & Engr,586,418,168
2015,Mechanical Engineering,1251,1069,182
2015,Nondegree,218,172,46
2015,Nuclear Engineering,3,2,1
2015,"Nuclear, Plasma, Radiolgc Engr ",233,204,29
2015,Physics,261,203,58
2015,Systems & Entrepreneurial Engr,28,21,7
2015,Theoretical & Applied Mechans,0,0,0
2016,Aerospace Engineering,672,583,89
2016,Agricultural & Biological Engr,121,80,41
2016,Bioengineering,349,190,159
2016,Bioinformatics,5,4,1
2016,Bioinstrumentation,16,10,6
2016,Civil Engineering,1329,972,357
2016,Computer Engineering,1195,1063,132
2016,Computer Science,1748,1328,420
